Date,Close
2017-05-01,1.4950000047683716
2017-08-01,2.005000114440918
2017-11-01,1.7599999904632568
2018-02-01,2.4800000190734863
2018-05-01,2.055000066757202
2018-08-01,2.0899999141693115
2018-11-01,1.8799999952316284
2019-02-01,1.4800000190734863
2019-05-01,1.1799999475479126
2019-08-01,1.1799999475479126
2019-11-01,1.3049999475479126
2020-02-03,2.0399999618530273
2020-05-04,1.975000023841858
2020-08-04,2.515000104904175
2020-11-02,3.0850000381469727
2021-02-01,5.090000152587891
2021-05-03,5.710000038146973
2021-08-02,6.460000038146973
2021-11-01,7.269999980926514
